h;V;C;L*;a*;b*;R;G;B
10R;8;6;81.35;21.22;22.31;1;0.7291;0.6327
10R;8;8;81.35;28.67;30.87;1;0.7038;0.5716
10R;8;10;81.35;35.63;38.89;1;0.6785;0.5139
2.5YR;8;2;81.35;5.36;7.2;0.8571;0.7772;0.7399
2.5YR;8;4;81.35;12.42;17.58;0.9353;0.7556;0.6655
2.5YR;8;6;81.35;18.67;26.63;0.9963;0.7356;0.6005
2.5YR;8;8;81.35;25.23;36.68;1;0.7134;0.5276
2.5YR;8;10;81.35;30.63;46.26;1;0.694;0.4563
2.5YR;8;12;81.35;36.86;57.18;1;0.6705;0.3718
5YR;8;2;81.35;4.68;9.55;0.8591;0.7782;0.7227
5YR;8;4;81.35;9.97;20.54;0.9255;0.7615;0.6434
5YR;8;6;81.35;15.01;30.88;0.9805;0.7451;0.5682
5YR;8;8;81.35;20.21;42.67;1;0.7275;0.4807
5YR;8;10;81.35;24.54;53.07;1;0.7124;0.4004
5YR;8;12;81.35;29.01;64.95;1;0.6963;0.3007
5YR;8;14;81.35;32.76;77.33;1;0.6822;0.1704
7.5YR;8;2;81.35;3.54;11.46;0.8562;0.7806;0.7086
7.5YR;8;4;81.35;7.26;23.08;0.9126;0.768;0.6241
7.5YR;8;6;81.35;11.3;34.52;0.9628;0.7547;0.5401
7.5YR;8;8;81.35;15.12;46.97;1;0.7416;0.4458
7.5YR;8;10;81.35;18.38;58.66;1;0.7303;0.3514
7.5YR;8;12;81.35;21.48;71.26;1;0.7194;0.2336
10YR;8;2;81.35;1.77;13.38;0.8486;0.7845;0.6943
10YR;8;4;81.35;3.89;25.85;0.8956;0.7761;0.603
10YR;8;6;81.35;6.39;38.38;0.9373;0.7671;0.5097
10YR;8;8;81.35;8.89;51.37;0.9737;0.7581;0.4086
10YR;8;10;81.35;11.26;63.64;1;0.75;0.3035
10YR;8;12;81.35;13.42;76.75;1;0.7424;0.1585
2.5Y;8;2;81.35;-0.3;14.92;0.8376;0.7892;0.6827
2.5Y;8;4;81.35;0.33;27.92;0.8752;0.7846;0.587
2.5Y;8;6;81.35;1.46;41.42;0.9097;0.7791;0.4851
2.5Y;8;8;81.35;2.87;54.5;0.939;0.7734;0.3806
2.5Y;8;10;81.35;4.32;67.71;0.9639;0.768;0.26
2.5Y;8;12;81.35;5.59;81.67;0.9838;0.7633;0.0384
5Y;8;2;81.35;-2.14;15.77;0.8262;0.7935;0.6761
5Y;8;4;81.35;-3.71;29.58;0.8501;0.794;0.5737
5Y;8;6;81.35;-4.23;43.62;0.8747;0.7926;0.4664
5Y;8;8;81.35;-4.33;57.61;0.8957;0.7908;0.3512
5Y;8;10;81.35;-4.13;71.62;0.9134;0.7887;0.2113
7.5Y;8;2;81.35;-3.64;16.2;0.8163;0.7969;0.6727
7.5Y;8;4;81.35;-6.04;30.13;0.8345;0.7994;0.5691
7.5Y;8;6;81.35;-7.96;44.34;0.8499;0.8013;0.4597
7.5Y;8;8;81.35;-9.39;58.77;0.8629;0.8025;0.3388
7.5Y;8;10;81.35;-10.36;72.94;0.8735;0.8031;0.19
10Y;8;2;81.35;-4.92;16.24;0.8065;0.8;0.6722
10Y;8;4;81.35;-8.39;30.04;0.817;0.8049;0.5693
10Y;8;6;81.35;-11.4;44.37;0.8254;0.8091;0.4585
10Y;8;8;81.35;-13.71;58.57;0.8325;0.8122;0.339
10Y;8;10;81.35;-15.58;73.04;0.8379;0.8147;0.1848
2.5GY;8;2;81.35;-6.36;15.81;0.7942;0.8034;0.6751
2.5GY;8;4;81.35;-11.48;28.78;0.7906;0.8122;0.5781
2.5GY;8;6;81.35;-15.92;42.48;0.7884;0.8194;0.4722
2.5GY;8;8;81.35;-19.74;55.92;0.7851;0.8255;0.3602
2.5GY;8;10;81.35;-23.23;70.83;0.7809;0.831;0.2082
5GY;8;2;81.35;-7.63;14.72;0.7807;0.8067;0.6829
5GY;8;4;81.35;-13.74;27.1;0.7688;0.8175;0.5903
5GY;8;6;81.35;-19.74;39.7;0.7533;0.8279;0.493
5GY;8;8;81.35;-25.18;52;0.7368;0.8372;0.3922
5GY;8;10;81.35;-30.36;65.51;0.7197;0.8457;0.2648
7.5GY;8;2;81.35;-9.9;12.07;0.7541;0.8124;0.7019
7.5GY;8;4;81.35;-18.25;22.41;0.7188;0.8281;0.6244
7.5GY;8;6;81.35;-26.01;32.91;0.6848;0.8418;0.544
7.5GY;8;8;81.35;-33.14;43.43;0.6519;0.8538;0.4604
7.5GY;8;10;81.35;-40.45;54.39;0.6134;0.8656;0.3669
7.5GY;8;12;81.35;-47.62;66.29;0.5723;0.8766;0.2482
10GY;8;2;81.35;-11.38;9.62;0.7333;0.8164;0.7196
10GY;8;4;81.35;-20.59;17.95;0.6838;0.834;0.657
10GY;8;6;81.35;-29.92;26.38;0.6291;0.8507;0.5926
10GY;8;8;81.35;-38.33;33.95;0.5744;0.8649;0.5336
10GY;8;10;81.35;-47.65;42.54;0.5064;0.8796;0.4641
10GY;8;12;81.35;-56.63;51.22;0.4303;0.8929;0.3899
10GY;8;14;81.35;-65.43;59.58;0.3347;0.9052;0.311
10GY;8;16;81.35;-74.4;68.16;0.1836;0.9169;0.213
2.5G;8;2;81.35;-12.17;6.89;0.7162;0.8189;0.7395
2.5G;8;4;81.35;-22.15;12.57;0.6491;0.8385;0.6964
2.5G;8;6;81.35;-32.96;18.58;0.5681;0.8581;0.6504
2.5G;8;8;81.35;-42.29;23.7;0.4876;0.8738;0.6107
2.5G;8;10;81.35;-52.2;29.05;0.3829;0.8893;0.5685
2.5G;8;12;81.35;-62.8;34.37;0.2098;0.9047;0.5258
5G;8;2;81.35;-12.35;4.83;0.7066;0.8198;0.7545
5G;8;4;81.35;-22.58;8.57;0.6281;0.8403;0.7257
5G;8;6;81.35;-33.68;12.32;0.5298;0.8609;0.6965
5G;8;8;81.35;-43.67;15.49;0.4211;0.8779;0.6717
5G;8;10;81.35;-53.81;18.29;0.2614;0.894;0.6494
7.5G;8;2;81.35;-12.27;3.38;0.7013;0.8201;0.7651
7.5G;8;4;81.35;-22.63;6.05;0.616;0.8411;0.7441
7.5G;8;6;81.35;-33.51;8.58;0.511;0.8614;0.7241
7.5G;8;8;81.35;-43.25;10.52;0.3912;0.8783;0.7085
7.5G;8;10;81.35;-53.56;12.51;0.1854;0.8948;0.6925
10G;8;2;81.35;-12.01;1.99;0.6978;0.8199;0.7753
10G;8;4;81.35;-22.42;3.52;0.6059;0.8413;0.7627
10G;8;6;81.35;-32.91;4.87;0.4956;0.8613;0.7515
10G;8;8;81.35;-42.71;5.94;0.3611;0.8785;0.7423
10G;8;10;81.35;-52.7;6.91;0.0786;0.8948;0.734
2.5BG;8;2;81.35;-11.76;0.95;0.6956;0.8196;0.7829
2.5BG;8;4;81.35;-22.12;1.38;0.598;0.8413;0.7783
2.5BG;8;6;81.35;-32.06;1.72;0.4859;0.8605;0.7746
2.5BG;8;8;81.35;-41.96;1.79;0.3336;0.8783;0.7729
5BG;8;2;81.35;-11.07;-0.63;0.6951;0.8186;0.7945
5BG;8;4;81.35;-21.05;-1.45;0.594;0.84;0.7992
5BG;8;6;81.35;-30.7;-2.5;0.4738;0.8592;0.8057
5BG;8;8;81.35;-40.66;-3.77;0.2944;0.8775;0.8138
7.5BG;8;2;81.35;-10.03;-2.35;0.6967;0.8168;0.8072
7.5BG;8;4;81.35;-19.5;-4.41;0.5941;0.8377;0.8209
7.5BG;8;6;81.35;-29.13;-7.14;0.4599;0.8576;0.8398
7.5BG;8;8;81.35;-38.24;-9.47;0.2697;0.875;0.8558
10BG;8;2;81.35;-8.99;-3.45;0.7013;0.8148;0.8153
10BG;8;4;81.35;-18.12;-7.11;0.5932;0.8357;0.8409
10BG;8;6;81.35;-26.89;-10.83;0.461;0.8544;0.867
10BG;8;8;81.35;-35.48;-14.49;0.2589;0.8716;0.8929
2.5B;8;2;81.35;-7.61;-4.31;0.7097;0.812;0.8218
2.5B;8;4;81.35;-16.31;-9.44;0.5991;0.8326;0.858
2.5B;8;6;81.35;-24.07;-14.47;0.4701;0.8501;0.8939
2.5B;8;8;81.35;-31.6;-19.7;0.2712;0.8663;0.9314
5B;8;2;81.35;-5.86;-5.08;0.7219;0.8082;0.8276
5B;8;4;81.35;-13.09;-11.7;0.6198;0.8265;0.8749
5B;8;6;81.35;-19.29;-18.37;0.5024;0.8418;0.923
5B;8;8;81.35;-25.76;-25.77;0.3135;0.8573;0.9765
7.5B;8;2;81.35;-4.35;-5.51;0.7333;0.8048;0.8309
7.5B;8;4;81.35;-10.31;-12.89;0.6414;0.8208;0.8839
7.5B;8;6;81.35;-15.32;-20.53;0.5358;0.8343;0.9392
7.5B;8;8;81.35;-20.32;-29.01;0.3783;0.8479;1
10B;8;2;81.35;-3.05;-5.82;0.7432;0.8019;0.8333
10B;8;4;81.35;-6.68;-14.02;0.6709;0.8131;0.8926
10B;8;6;81.35;-10.18;-22.19;0.5845;0.8239;0.9518
10B;8;8;81.35;-13.71;-31.55;0.4593;0.8352;1
2.5PB;8;2;81.35;-1.34;-6;0.7571;0.7978;0.8349
2.5PB;8;4;81.35;-3.12;-14.58;0.7016;0.805;0.8971
2.5PB;8;6;81.35;-4.92;-23.39;0.6339;0.8125;0.9612
5PB;8;2;81.35;-0.15;-6.03;0.7669;0.795;0.8352
5PB;8;4;81.35;-0.25;-14.66;0.7275;0.7982;0.898
5PB;8;6;81.35;-0.1;-24.14;0.6781;0.8015;0.9672
7.5PB;8;2;81.35;1.44;-5.77;0.7811;0.7911;0.8336
7.5PB;8;4;81.35;3.37;-14.37;0.7606;0.7893;0.8964
7.5PB;8;6;81.35;5.74;-23.77;0.7353;0.787;0.9651
10PB;8;2;81.35;2.49;-5.38;0.7914;0.7883;0.8309
10PB;8;4;81.35;5.97;-13.52;0.7864;0.7824;0.8905
10PB;8;6;81.35;10.34;-22.49;0.7825;0.7745;0.9563
10PB;8;8;81.35;15.95;-32.18;0.7823;0.7636;1
2.5P;8;2;81.35;3.25;-4.91;0.7993;0.7863;0.8276
2.5P;8;4;81.35;8.33;-12.72;0.8093;0.776;0.885
2.5P;8;6;81.35;13.67;-20.41;0.8199;0.7648;0.9415
2.5P;8;8;81.35;19.84;-28.66;0.833;0.7511;1
5P;8;2;81.35;3.7;-4.42;0.8049;0.785;0.8241
5P;8;4;81.35;9.83;-11.36;0.8268;0.7716;0.8753
5P;8;6;81.35;15.95;-18.01;0.8486;0.7575;0.9244
5P;8;8;81.35;23.01;-25.23;0.874;0.7403;0.9777
5P;8;10;81.35;30.08;-32.12;0.8993;0.722;1
7.5P;8;2;81.35;4.56;-3.03;0.8169;0.7823;0.8141
7.5P;8;4;81.35;12.26;-8.22;0.8579;0.7639;0.8528
7.5P;8;6;81.35;18.89;-12.85;0.8913;0.7472;0.8873
7.5P;8;8;81.35;27.67;-18.74;0.9349;0.7234;0.9312
7.5P;8;10;81.35;35.24;-23.8;0.9715;0.7011;0.9689
7.5P;8;12;81.35;43.28;-29.01;1;0.6756;1
10P;8;2;81.35;5.01;-2.2;0.8234;0.7809;0.8081
10P;8;4;81.35;13.11;-5.92;0.8724;0.7609;0.8363
10P;8;6;81.35;21.18;-9.79;0.919;0.7394;0.8654
10P;8;8;81.35;29.81;-13.96;0.967;0.7146;0.8968
10P;8;10;81.35;38.04;-17.99;1;0.6889;0.9271
10P;8;12;81.35;46.27;-21.99;1;0.6609;0.9572
10P;8;14;81.35;55.55;-26.58;1;0.626;0.9917
2.5RP;8;2;81.35;5.31;-1.33;0.8289;0.7799;0.8018
2.5RP;8;4;81.35;13.81;-3.41;0.8861;0.7581;0.8182
2.5RP;8;6;81.35;22.77;-5.61;0.944;0.7331;0.8354
2.5RP;8;8;81.35;31.76;-8.16;0.9989;0.7059;0.8552
2.5RP;8;10;81.35;40.18;-10.51;1;0.6781;0.8734
2.5RP;8;12;81.35;49.54;-13.39;1;0.644;0.8955
2.5RP;8;14;81.35;58.66;-16.18;1;0.6069;0.9171
5RP;8;2;81.35;5.57;-0.27;0.8345;0.7789;0.7942
5RP;8;4;81.35;14.37;-0.59;0.8993;0.7556;0.7978
5RP;8;6;81.35;23.68;-1.07;0.964;0.7288;0.8027
5RP;8;8;81.35;33.17;-1.74;1;0.6988;0.809
5RP;8;10;81.35;41.84;-2.46;1;0.6687;0.8157
5RP;8;12;81.35;52.16;-3.45;1;0.6288;0.8245
7.5RP;8;2;81.35;5.74;0.57;0.8386;0.7782;0.7882
7.5RP;8;4;81.35;14.74;1.56;0.9087;0.7538;0.7822
7.5RP;8;6;81.35;23.98;2.43;0.9757;0.7267;0.7775
7.5RP;8;8;81.35;33.59;3.01;1;0.6957;0.7749
7.5RP;8;10;81.35;42.32;3.61;1;0.6646;0.7721
7.5RP;8;12;81.35;53;3.99;1;0.6222;0.7713
10RP;9;2;91.08;5.61;1.39;0.9488;0.8852;0.889
10RP;9;4;91.08;15.64;4.18;1;0.857;0.8699
10RP;9;6;91.08;25.52;6.73;1;0.8269;0.8526
2.5R;9;2;91.08;5.2;1.95;0.9476;0.8861;0.8848
2.5R;9;4;91.08;15.77;6.39;1;0.8559;0.8535
2.5R;9;6;91.08;25.52;10.49;1;0.8256;0.8247
5R;9;2;91.08;5.67;3.18;0.9555;0.8845;0.8758
5R;9;4;91.08;15.73;8.97;1;0.8552;0.8343
5R;9;6;91.08;24.87;14.44;1;0.8264;0.7953
7.5R;9;2;91.08;5.71;4.35;0.9596;0.884;0.867
7.5R;9;4;91.08;15.47;12.02;1;0.8551;0.8116
7.5R;9;6;91.08;23.7;19.25;1;0.8286;0.7593
10R;9;2;91.08;5.59;5.53;0.9626;0.884;0.8582
10R;9;4;91.08;14.54;15.23;1;0.8568;0.7875
10R;9;6;91.08;22.24;23.84;1;0.8319;0.7248
2.5YR;9;2;91.08;5.37;7.57;0.9674;0.8839;0.843
2.5YR;9;4;91.08;12.86;18.6;1;0.8605;0.762
2.5YR;9;6;91.08;19.05;28.72;1;0.8401;0.6874
5YR;9;2;91.08;4.46;9.97;0.9679;0.8856;0.8249
5YR;9;4;91.08;10.07;22.14;1;0.8673;0.735
5YR;9;6;91.08;15.08;32.98;1;0.8507;0.6542
7.5YR;9;2;91.08;3.3;12.26;0.966;0.888;0.8076
7.5YR;9;4;91.08;7.18;24.97;1;0.8744;0.7131
7.5YR;9;6;91.08;10.74;36.64;1;0.8621;0.6252
7.5YR;9;8;91.08;14.31;48.72;1;0.8496;0.532
10YR;9;2;91.08;1.44;14.31;0.9579;0.8921;0.792
10YR;9;4;91.08;3.53;27.76;1;0.8834;0.6913
10YR;9;6;91.08;5.71;40.38;1;0.8749;0.5951
10YR;9;8;91.08;8.05;53.21;1;0.8663;0.4938
2.5Y;9;2;91.08;-0.53;15.72;0.947;0.8967;0.7812
2.5Y;9;4;91.08;-0.31;29.7;0.9855;0.8927;0.6758
2.5Y;9;6;91.08;0.72;42.96;1;0.8874;0.5737
2.5Y;9;8;91.08;1.97;56.28;1;0.8819;0.4664
2.5Y;9;10;91.08;3.2;69.17;1;0.8769;0.3524
2.5Y;9;12;91.08;4.59;82.5;1;0.8717;0.2033
5Y;9;2;91.08;-2.48;16.59;0.9346;0.9013;0.7743
5Y;9;4;91.08;-4.22;31.06;0.9601;0.9021;0.6645
5Y;9;6;91.08;-5.1;45.16;0.9839;0.9014;0.5547
5Y;9;8;91.08;-5.57;59.12;1;0.9004;0.4396
5Y;9;10;91.08;-5.69;72.54;1;0.8989;0.3143
5Y;9;12;91.08;-5.67;86.89;1;0.8974;0.1138
7.5Y;9;2;91.08;-4.06;17.13;0.9239;0.9051;0.7699
7.5Y;9;4;91.08;-6.8;31.56;0.942;0.9082;0.6602
7.5Y;9;6;91.08;-8.87;45.86;0.958;0.9104;0.5482
7.5Y;9;8;91.08;-10.39;60.14;0.972;0.9117;0.4291
7.5Y;9;10;91.08;-11.39;73.89;0.9837;0.9123;0.297
7.5Y;9;12;91.08;-12.09;88.6;0.9943;0.9125;0.0468
10Y;9;2;91.08;-5.22;17.19;0.9149;0.9078;0.7693
10Y;9;4;91.08;-8.97;31.57;0.9255;0.9134;0.6596
10Y;9;6;91.08;-12.02;45.82;0.9347;0.9177;0.5477
10Y;9;8;91.08;-14.67;60.57;0.9419;0.9215;0.4237
10Y;9;10;91.08;-16.61;74.19;0.9473;0.9242;0.2909
2.5GY;9;2;91.08;-6.59;16.75;0.9029;0.9112;0.7724
2.5GY;9;4;91.08;-12.04;30.88;0.9002;0.9207;0.6643
2.5GY;9;6;91.08;-16.49;44.58;0.8984;0.9281;0.5564
2.5GY;9;8;91.08;-20.67;58.84;0.8945;0.935;0.4369
2.5GY;9;10;91.08;-24.04;72.27;0.8905;0.9405;0.3075
2.5GY;9;12;91.08;-27.11;87.49;0.8863;0.9455;0.0519
5GY;9;2;91.08;-8.06;15.92;0.8884;0.9149;0.7783
5GY;9;4;91.08;-14.52;29.52;0.877;0.9266;0.6742
5GY;9;6;91.08;-20.54;42.52;0.8623;0.9373;0.5718
5GY;9;8;91.08;-26.19;55.76;0.8462;0.9471;0.4617
5GY;9;10;91.08;-31.02;68.72;0.8313;0.9553;0.3411
5GY;9;12;91.08;-35.68;82.76;0.8148;0.9631;0.1606
7.5GY;9;2;91.08;-10.62;13.28;0.8587;0.9216;0.7977
7.5GY;9;4;91.08;-19.08;24.27;0.8239;0.9378;0.7134
7.5GY;9;6;91.08;-27.45;35.87;0.7875;0.953;0.6226
7.5GY;9;8;91.08;-35;46.73;0.7514;0.9662;0.5345
7.5GY;9;10;91.08;-42.54;58.21;0.7123;0.9787;0.4354
7.5GY;9;12;91.08;-49.39;69.57;0.6738;0.9896;0.3244
7.5GY;9;14;91.08;-55.9;81.14;0.633;0.9997;0.1715
10GY;9;2;91.08;-12.15;10.46;0.8357;0.9258;0.8186
10GY;9;4;91.08;-21.83;19.3;0.783;0.9449;0.7506
10GY;9;6;91.08;-32.56;28.89;0.7185;0.9646;0.6756
10GY;9;8;91.08;-40.97;36.73;0.6638;0.9792;0.6131
10GY;9;10;91.08;-50.47;45.8;0.5957;0.9947;0.5385
10GY;9;12;91.08;-59;53.71;0.5243;1;0.4701
10GY;9;14;91.08;-68.02;62.41;0.4348;1;0.3891
10GY;9;16;91.08;-77.15;71.4;0.3136;1;0.2928
10GY;9;18;91.08;-86.08;80.4;0.0612;1;0.1601
2.5G;9;2;91.08;-12.97;7.52;0.8172;0.9285;0.8405
2.5G;9;4;91.08;-23.62;13.72;0.745;0.95;0.7924
2.5G;9;6;91.08;-35.4;20.52;0.6564;0.972;0.7391
2.5G;9;8;91.08;-45.37;26.01;0.5699;0.9892;0.6955
2.5G;9;10;91.08;-55.54;31.58;0.4646;1;0.6507
2.5G;9;12;91.08;-65.21;36.76;0.3307;1;0.6083
5G;9;2;91.08;-13.1;5.38;0.8076;0.9294;0.8565
5G;9;4;91.08;-24.22;9.44;0.7207;0.9523;0.8244
5G;9;6;91.08;-36.34;13.56;0.6118;0.9754;0.7917
5G;9;8;91.08;-47.05;16.89;0.4949;0.9942;0.7649
5G;9;10;91.08;-57.04;19.8;0.3475;1;0.7413
7.5G;9;2;91.08;-13.06;3.71;0.801;0.9298;0.8689
7.5G;9;4;91.08;-24.35;6.69;0.7064;0.9534;0.8451
7.5G;9;6;91.08;-36.36;9.55;0.5894;0.9764;0.8219
7.5G;9;8;91.08;-47.07;11.94;0.4584;0.9954;0.8024
7.5G;9;10;91.08;-56.91;13.86;0.2806;1;0.7865
10G;9;2;91.08;-12.8;2.31;0.7973;0.9296;0.8794
10G;9;4;91.08;-23.98;4.03;0.6971;0.9533;0.865
10G;9;6;91.08;-35.73;5.54;0.5726;0.9763;0.8521
10G;9;8;91.08;-46.7;6.92;0.4221;0.996;0.8403
10G;9;10;91.08;-56.18;7.76;0.1987;1;0.8328
2.5BG;9;2;91.08;-12.53;1.12;0.7946;0.9294;0.8884
2.5BG;9;4;91.08;-23.51;1.68;0.6901;0.953;0.8827
2.5BG;9;6;91.08;-35.14;2.1;0.5572;0.9761;0.878
2.5BG;9;8;91.08;-45.91;2.34;0.391;0.9958;0.8749
2.5BG;9;10;91.08;-55.41;2.38;0.0592;1;0.8734
5BG;9;2;91.08;-11.79;-0.38;0.7949;0.9281;0.8997
5BG;9;4;91.08;-22.71;-1.04;0.684;0.9521;0.9031
5BG;9;6;91.08;-34.02;-1.9;0.5436;0.9751;0.9082
5BG;9;8;91.08;-44.76;-3.01;0.3527;0.9953;0.9152
7.5BG;9;2;91.08;-10.7;-2.23;0.7965;0.9262;0.9137
7.5BG;9;4;91.08;-21.28;-4.41;0.6805;0.9501;0.9285
7.5BG;9;6;91.08;-32.01;-6.81;0.5339;0.9726;0.9452
7.5BG;9;8;91.08;-42.71;-9.34;0.3113;0.9935;0.9629
10BG;9;2;91.08;-9.53;-3.33;0.8022;0.9239;0.922
10BG;9;4;91.08;-19.64;-7.25;0.6818;0.9476;0.95
10BG;9;6;91.08;-29.78;-11.05;0.5309;0.9696;0.9772
2.5B;9;2;91.08;-7.81;-4.52;0.8127;0.9202;0.9311
2.5B;9;4;91.08;-17.56;-9.97;0.6884;0.944;0.9706
5B;9;2;91.08;-6.16;-5.2;0.8245;0.9166;0.9364
5B;9;4;91.08;-14.52;-12.55;0.7057;0.9382;0.9902
7.5B;9;2;91.08;-4.49;-5.45;0.8383;0.9127;0.9385
7.5B;9;4;91.08;-11.58;-13.99;0.728;0.9321;1
10B;9;2;91.08;-3.33;-5.67;0.8476;0.91;0.9402
10B;9;4;91.08;-8.35;-15.03;0.7549;0.9251;1
2.5PB;9;2;91.08;-1.33;-5.73;0.8647;0.9051;0.941
5PB;9;2;91.08;-0.21;-5.69;0.8745;0.9023;0.9409
7.5PB;9;2;91.08;1.28;-5.49;0.8879;0.8986;0.9396
10PB;9;2;91.08;2.35;-5.05;0.8987;0.8957;0.9364
10PB;9;4;91.08;6.41;-14.81;0.8917;0.8888;1
2.5P;9;2;91.08;3.1;-4.96;0.9053;0.8937;0.9359
2.5P;9;4;91.08;8.4;-13.39;0.9148;0.883;0.9993
5P;9;2;91.08;3.51;-4.35;0.911;0.8925;0.9314
5P;9;4;91.08;10.24;-12.56;0.9334;0.8778;0.9934
7.5P;9;2;91.08;4.46;-2.92;0.9242;0.8896;0.9209
7.5P;9;4;91.08;12.96;-8.49;0.9711;0.8689;0.9635
7.5P;9;6;91.08;20.92;-13.91;1;0.8482;1
10P;9;2;91.08;4.85;-2.1;0.9304;0.8883;0.9149
10P;9;4;91.08;13.88;-6.08;0.9871;0.8654;0.9457
10P;9;6;91.08;22.64;-10.06;1;0.8416;0.9765
2.5RP;9;2;91.08;5.2;-1.25;0.9363;0.8871;0.9086
2.5RP;9;4;91.08;14.41;-3.46;1;0.863;0.9264
2.5RP;9;6;91.08;24.14;-5.79;1;0.8355;0.9451
5RP;9;2;91.08;5.43;-0.21;0.9419;0.8862;0.9009
5RP;9;4;91.08;15.06;-0.46;1;0.8602;0.9042
5RP;9;6;91.08;25.07;-0.94;1;0.8308;0.9094
7.5RP;9;2;91.08;5.57;0.64;0.9459;0.8856;0.8946
7.5RP;9;4;91.08;15.38;1.81;1;0.8585;0.8874
7.5RP;9;6;91.08;25.43;2.88;1;0.8284;0.8811
