SERIE,FECHA,X,Y,HOJA_IGM,UBICACION,PERFIL_NRO,GRAN_GRUPO SUBGRUPO
Aaron Castellanos,01/01/1900,-61.85000000,-34.17250000,"3563-5-2,Sancti Spiritu.",13.5 Km. al SSE de la Estacion Sancti Spiritu FGBM.,,Natralbol Tipico
Abbot,26/05/1971,-58.16166667,-35.45722222,"3757-25-2, Altamirano",11.5 Km. al SW de Estacion Altamirano,1/1785-C,Argiudol Acuico
Agustin Roca,17/03/1967,-60.74305556,-34.46194444,"3560-8-2, Ines Indart",13 Km. al SSW de los Indios,13/656-C,Natralbol Tipico
Alejandro Korn,24/10/1969,-58.48750000,-35.13611111,"3557-19-1,San Vicente",8 Km. al SE de la localidad de San Vicente,13/1255-C,Argiacuol Tipico
Alem,15/11/1979,-61.48555556,-34.51583333,"3560-27-3, Valdez",8 Km. al W de la localidad de Leandro N. Alem,16/971-C,Argiudol Tipico
Ameghino,01/01/1900,-62.40555556,-34.85555556,"3563-17-3, Ameghino","6,300 Km. al ESE de la localidad de  Ameghino",37-C,Hapludol Entico
Amenabar,01/01/1900,-62.20000000,-34.10666667,"3563-5-2,Sancti Spiritu.","11,5 Km.al SSE de la Estacion Sancti Spiritu FCBM.",789-C,Natracualf Tipico
Apead. Las Vaquerias,01/01/1900,-60.26666667,-38.25000000,"3960-3-3,Apeadero Las Vaquerias",26.5 Km. al SW de la localidad de Gonzalez Chavez,25/1294-C,Natralbol Tipico
Alta Vista,01/01/1900,-62.87500000,-37.63666667,"3763-28-3, Puan",13.5 Km. al SSW de la localidad de Puan,23-1323-C,Haplustol Petrocalcico
Arrecifes,16/11/1965,-59.78472222,-34.07833333,"3560-4-1,Capitan Sarmiento",12 Km. al Norte de la localidad de  Capitan Sarmiento,RP9-280-C,Argiudol Tipico
Arroyo Chico,01/01/1900,-57.10722222,-37.33138889,"3757-21-4, Estacion Macedo","11,5 Km. al SE de Estacion Macedo",8/2424-C,Natracuert Tipico
Arroyo Corto,01/01/1900,-62.31027778,-37.65416667,"3763-29-3,Pigue",9.8 Km al SSE de la localidad de Pigue,23/1363-C,Hapludol Cumulico
Arroyo De Zabala,01/01/1900,-59.51722222,-38.45222222,"3960-10-2, San Cayetano",13.5 Km. al SE de la localidad de San Cayetano,23/584-C,Hapludol Entico
Arroyo Dulce,18/11/1965,-60.41666667,-34.10277778,"3560-3-1,Arroyo Dulce",750 m. al WSW de Estacion Arroyo Dulce,11/347-C,Argiudol Tipico
Arroyo Juarez,01/01/1900,-60.45833333,-33.63472222,"3360-27-3, Conesa",5 Km. al NW de la Estacion Guerrico,7/450-C,Natracualf Molico
Arroyo Pantanoso,01/01/1900,-58.26250000,-37.80833333,"3757-31-2,Sierra Bachicha","18,5 Km. al NNE del cruce de las rutas 226 y 55",4/957-C,Natralbol Tipico
Atalaya,01/01/1900,-57.53500000,-35.04833333,"3557-20-2,Magdalena",4.2 Km. al NNW de la localidad de Magdalena,9/2319-C,Fluvacuent Tipico
Atucha,01/01/1900,-59.42444444,-33.83333333,"3360-35-3,Alsina",5 Km. NW de la Estacion Alsina del F.C.G.B.M,R.P.6/207-C,Argiudol Tipico
Azcuenaga,01/01/1900,-59.33333333,-34.21972222,"3560-11-1,San Andres de Giles","6,9 Km. al W de Estacion Villa Ruiz del F.C.G. Urquiza",RP5/574-C,Natracualf Tipico
Azul,01/01/1900,-59.83472222,-37.21805556,"3760-22-3, Chillar",2 Km. al NW de la Estacion Martin Fierro Ea.San Ramon,2/1532-C,Paleudol Petrocalcico
Bahia de Samborombon,01/01/1900,-57.11500000,-36.27638889,"3757-3-4,Desemb.Canal 1",500 m al NW de la Desembocadura del Canal No 1,16/173-C,Natracuert Tipico
Balbin,01/01/1900,-62.80777778,-34.45722222,"3763-10-1,Tres Lomas",15 Km. al ESE de la Estacion Canada Seca,15-C,Natracuol Durico
Balcarce,01/01/1900,-58.02222222,-37.82166667,"3757-31-2,Sierra Bachicha",17 Km. al E del cruce de las rutas 226 y 55 Ea. El Volcan,4/963-C,Paleudol Petrocalcico
Barker,01/01/1900,-59.26666667,-37.46666667,"3760-29-1,Azucena",Estancia Los Corrales,10/2298-C,Argiudol Calcico
Blanca Chica,01/01/1900,-60.45277778,-36.84444444,"3760-15-3, Olavarria",12.4 Km. al NNW de Olavarria,7/1743-C,Hapludol Tapto Argico
Bolivar,01/01/1900,-60.45333333,-35.69583333,"3560-33-1,San Enrique",13.5 Km. al NW de la localidad de San Enrique,3/1437-C,Hapludol Entico
Bragado,01/01/1900,-60.37750000,-35.09888889,"3560-21-1,Bragado",10 Km. al E de la localidad de Bragado,16/736-C,Hapludol Tipico
Brandsen,01/01/1900,-58.44722222,-35.42222222,"3557-19-3,Loma Verde",14.4 Km. al NNE de Estacion Loma Verde,9/1431-C,Argiudol Abruptico
Cachari,01/01/1900,-59.37500000,-36.39027778,"3760-11-1,Cachari Este","9.2 Km. al E de Entrada Estacion Cachari, S/Ruta 3",13/1907-C,Hapludol Tapto Natrico
Canada Honda,01/01/1900,-59.14722222,-34.09166667,"3560-5-3,San Antonio de Areco",7 Km. al E de la locallidad de San Antonio de Areco,8/146-C,Argiudol Acuico
Canada Seca,01/01/1900,-62.57000000,-34.73888889,"3563-10-4,Colonia Basavilbaso",11.5 Km  al SW de Saboya,14/C,Hapludol Tapto Argico
Canal Siete,01/01/1900,-57.33472222,-37.61750000,"3757-27-3, Laguna Mar Chiquita",6 Km. al SE del cruce de ruta 11 y canal 7,8/1693-C,Hapludol Acuico
Capilla Del Senor,01/01/1900,-59.13027778,-34.28666667,"3560-5-4,Capilla del Senor",3 Km. al W de la localidad de Capilla del Senor,8/149-C,Argiudol Vertico
Capitan Sarmiento,01/01/1900,-59.61111111,-34.22222222,"3560-4-4,Duggan","2.3 Km.  ESE de Estacion Duggan, F.C.G.B.M.",RP.10/148-C,Argiudol Tipico
Carabelas,01/01/1900,-60.83611111,-34.01388889,"3560-2-1,Carabelas",8.5 Km. al NE de la localidad de Carabelas,07/79-C,Argiudol Acuico
Carhue,01/01/1900,-62.98166667,-37.18833333,"3763-22-3,Adolfo Alsina",4 Km. al WSW de la Estancia Sanquico,23-1297-C,Argiacuol Vertico
Carlos Salas,01/01/1900,-62.95472222,-35.41888889,"3563-30-1,Carlos Salas",5.5 Km al SE de la localidad de Carlos Salas,23/1253-C,Hapludol Tapto Natrico
Carlos Tejedor,01/01/1900,-61.93083333,-35.78833333,"3563-36-1, Pehuajo","4 Km. al NNW de la localidad de Pehuajo, Ea .de Errea Hnos.",23/1245-C,Hapludol Tipico
Cascada,01/01/1900,-62.41166667,-37.18666667,"3763-23-3,Cascada",9 Km. al NNE de Estancia 15 de  Abril.,23-1353-C,Argiudol Tipico
Castelli,01/01/1900,-57.95555556,-36.14305556,"3757-2-1,Castelli",25 Km. al W de la localidad de  Castelli,26/50-C,Natracuol Tipico
Chacabuco,01/01/1900,-60.27277778,-34.53527778,"3560-9-3, Chacabuco","22 Km. al ENE de Chacabuco, Ea. El Juncal de Strugamou",RP10/437-C,Argiudol Tipico
Chascomus,01/01/1900,-57.91666667,-35.63333333,"3557-26-3,Laguna Yalca","17,65 Km. ESE de la localidad de Chascomus",1/1998-C,Argiudol Acuico
Chelforo,01/01/1900,-58.30000000,-36.98333333,"3757-13-4,Labarden",7 Km. al WSW de la localidad de Labarden,21/196-C,Natracualf Tipico
Christophersen,01/01/1900,-62.20444444,-34.15527778,"3563-5-2,Sancti Espiritu","15,5 Km. al S de Estacion Sancti Spiritu, FGRM.",790-C,Duracuol Natrico
Chocori,01/01/1900,-58.16500000,-38.34500000,"3957-7-2,Centinela Del Mar",2 Km. al NW de la Administracion de la Estancia Bellamar.,8/451-C,Argiacuol Vertico
Chovet,01/01/1900,-61.55277778,-33.82500000,"3363-30-4,Chovet",3 Km. al SW de la localidad de  Chovet.,,Argiudol Tipico
Cinco Cerros,01/01/1900,-58.51833333,-38.00722222,"3960-6-2, El Moro",12.5 Km. al NNE de la Estacion El Moro,23/286-C,Paleudol Petrocalcico
Claudio Molina,01/01/1900,-60.11666667,-38.41250000,"3960-9-2,Ea. Las Tres Lagunas",Estancia Tres Lagunas del Sr. Dicroce,25/1934-C,Hapludol Tipico
Cmte.N.Otamendi,01/01/1900,-57.91916667,-38.14333333,"3957-2-1,Cte.Nicanor Otamendi","7,5 Km. al SW de Cmte. N. Otamendi. Ea. Ita Cura",5/251-C,Natralbol Tipico
Cobo,01/01/1900,-57.19638889,-37.36444444,"3757-27-2,Faro Querandi","13,5 Km. al SE del Faro Querandi",8/1872-C,Hapludol Tapto Argico
Copetonas,01/01/1900,-60.33888889,-38.80388889,"3960-15-1,Copetonas",12.5 Km. al SE de Estacion Copetonas.,25/1944-C,Argiudol Litico
Coronel Bunge,01/01/1900,-60.70000000,-37.46666667,"3760-26-3,Laprida",12.3 Km. al NE de la localidad Laprida.,52-C,Natracualf Molico
Coronel Vidal,01/01/1900,-57.27277778,-37.20750000,"3757-21-3,Lag. Del Maestro",25 Km. al SSW de la localidad General Madariaga,8/2422-C,Natracuol Tipico
Corrales,01/01/1900,-62.46666667,-34.53750000,"3563-11-3,Blaquier","10.5 Km. al N de Estacion Blaquier, Ea. Corrales.",11-C,Argiudol Acuico
Cristiano Muerto,01/01/1900,-59.52472222,-38.47861111,"3960-10-2,San Cayetano",16.5 Km. al SE de la localidad San Cayetano,23/582-C,Hapludol Tapto Natrico
Cruzada,01/01/1900,-60.86666667,-37.53333333,"3760-26-3,Laprida","6,5 Km. al WNW de la localidad de Laprida, Ea. Cruzada",8-C,Natrudol Petrocalcico
Cura Malal,01/01/1900,-62.16888889,-37.78638889,"3763-35-4,Ea. Gran Chaco",10.5 Km. al ENE de la localidad de Dufaur. Ea. Lola,23/1347-C,Haplustol Tipico
Delgado,20/07/1966,-61.25555556,-34.16111111,"3560-1-1,Estacion Teodelina",3 Km. al NW de la Estacion Delgado F.C.G.B.,8/386-C,Argiudol Tipico
Dolores,01/01/1900,-57.44750000,-36.23944444,"3757-3-3,Ea. Santa Lucia",5.5 Km. al NW de Estancia Santa Lucia.,16/179-C,Natracuert Tipico
Drabble,01/01/1900,-62.57000000,-34.73888889,"3563-16-2,Santa Eleodora","12.5 Km. al ESE de Est. Santa Eleodora, Estancia La Porfia.",48-C,Natracuol Tipico
Dufaur,01/01/1900,-62.37833333,-37.96638889,"3763-35-3,Dufaur",8.25 Km. al SSW de la localidad de Dufaur.,23/1346-C,Argiustol Tipico
Ea.Aldecoa,01/01/1900,-61.14166667,-37.17111111,"3760-19-4,Las Martinetas",14.7 Km. al NE de la localidad de General Lamadrid.,23/807-C,Argiudol Acuico
Ea.La Angelita,01/01/1900,-63.28000000,-35.62916667,"3563-27-3,Gonzalez Moreno","Hoja 3563-27, Gonzalez Moreno.",C-60,Hapludol Entico
Ea.La Chana,01/01/1900,-63.54444444,-36.29027778,"3563-27-3,Gonzalez Moreno","Hoja 3763-3, Pellegrini",C-76,Natracuol Tipico
Ea.La Criolla,01/01/1900,-63.13222222,-35.64888889,"3563-33-2,Fortin Olavarria","Hoja 3563-33, Fortin Olavarria",C-63,Halacuert Aerico
Ea. La Margarita,01/01/1900,-59.35166667,-38.50222222,"3960-11-1,Ramon Santamarina",5.6 Km. al S SW de la localidad de Ramon Santamarina,25/1270-C,Halacuert Molico
Ea. La Victoria,01/01/1900,-57.41861111,-36.41888889,"3757-9-1,Estancia La Victoria",12 Km. al E de la localidad de Gral. Conesa,16/386-C,Natracuert Tipico
Ea.La Salada,01/01/1900,-59.97500000,-36.70777778,"3960-16-1,Orense",18 Km. al W de la localidad de Orense,23/598-C,Natralbol Tipico
Ea.Los Manantiales,01/01/1900,-62.60333333,-37.53166667,"3763-28-4, Alta Vista",15.4 Km. al E de la localidad de Puan,23/1336-C,Haplustol Paquico
Ea.Melamed,01/01/1900,-63.26055556,-37.24888889,"3763-21, Rivera",8.5 Km. al S de Estacion Rivera,90-C,Endoacuol Litico
Ea.Ojo De Agua,01/01/1900,-62.54361111,-37.63888889,"3763-28-4, Alta Vista",13.7 Km. al E de Estacion Alta Vista,23/1341-C,Haplustol Litico
Ea.Renana,01/01/1900,-63.34250000,-34.47027778,"3563-9-1,Melo","Hoja 3563-9, Melo",28-C,Natracualf Molico
Ea.San Baldomero,01/01/1900,-63.14944444,-36.07361111,"3763-3-1, Pellegrini","Hoja 3763-3, Pellegrini",C-72,Epiacuol Tipico
Ea.San Bernardo,01/01/1900,-63.34916667,-36.56333333,"3763-9,Catrilo","Hoja 3763-9, Catrilo",C-79,Ustipsament Tipico
Ea.Santa Ana,01/01/1900,-62.12222222,-34.22250000,"3563-5-4,San Gregorio","13 Km. al NNW. de la Estacion San Gregorio, FGBM",2-C,Hapludol Entico
Ea. Tarruhe,01/01/1900,-57.34083333,-35.53250000,"3757-27-3,Laguna Mar Chiquita",4 Km. al NW de Estacion Tarruhe,8/1699-C,Argialbol Argiacuico
Egana,01/01/1900,-59.27777778,-36.78888889,"3760-17-3,Ea. San Gabriel",10 Km. al E de la Estancia San Gabriel,13/2704-C,Argiudol Tipico
El Abolengo,01/01/1900,-62.19833333,-34.24166667,"3563-5-4,San Gregorio",15 Km. al NW de la localidad de San Gregorio,3-C,Hapludol Tipico
El Arbolito,01/01/1900,-61.12638889,-33.72222222,"3360-31-2,Weelwright",7 Km. al W de la localidad de Juncal,11/1040-C,Argiudol Acuico
El Carmen,01/01/1900,-57.92916667,-36.12222222,"3757-2-1,Castelli",12 Km. al W de la localidad de Castelli,21/3238-C,Hapludol Tapto Natrico
El Carrizal,01/01/1900,-59.78361111,-38.79416667,"3960-16-1,Orense",14.5 Km. al SW de la localidad de Orense,23/594-C,Natracuol Tipico
El Cortijo,01/01/1900,-57.28055556,-35.57444444,"3557-27-3, Pipinas",10 Km. al SSE de la localidad de Pipinas,14/2169-C,Cuarzipsament Tipico
El Destino,01/01/1900,-57.50833333,-35.05555556,"3557-20-2,Magdalena",3 Km. al NNE de la localidad de Magdalena,9/2315-C,Natracuol Tipico
El Gavilan,01/01/1900,-61.21666667,-38.41444444,"3960-7-2, La Aurora","8,5 Km. al NNW de Estancia La Aurora",25/9-C,Argiudol Tipico
El Pedernal,01/01/1900,-61.51666667,-33.75555556,"3363-36-2, El Pedernal",11 Km. al ESE de la Estacion Elortondo,6/791-C,Halacuept Molico
El Recuerdo,01/01/1900,-61.15416667,-33.75277778,"3360-31-2,Weelwright",6 Km. al NE de la localidad de Wheelwright,RP11/1039-C,Natralbol Tipico
El Tordillo,01/01/1900,-57.28555556,-36.46861111,"3757-9-1, La Victoria",6.5 Km. al NE de la localidad de Gral. Conesa,16/385-C,Natracuert Tipico
El Toro,01/01/1900,-58.72500000,-36.09000000,"3760-6-2,Ibanez",10.5 Km. al WSW de Estacion Ibanez,1/2605-C,Hapludol Tapto Argico
El Tuyu,01/01/1900,-56.72000000,-36.56166667,"3757-10-4,Santa Teresita",7 Km. al W de la localidad de Santa Teresita,16/396-C,Udipsament Tipico
El Vigilante,01/01/1900,-60.67500000,-38.45000000,"3960-8-2,Ea. La Josefina",11.8 Km. al NNE de la localidad de Irene,28/438-C,Natracuol Tipico
Elena,01/01/1900,-60.71666667,-37.36666667,"3760-26-2,Voluntad",21.5 Km. al NE de la localidad de Laprida,71-C,Natracualf Tipico
Elordi,01/01/1900,-63.18888889,-35.07638889,"3563-21-2,Gral Villegas",8 Km. al SW de Estacion Elordi,46-C,Hapludol Tapto Argico
Epecuen,01/01/1900,-62.71000000,-37.09000000,"3763-22-2,Arroyo Venado",8.5 Km. al S de Estacion Rolito,23-1295-C,Haplustol Entico
Erize,01/01/1900,-62.86166667,-37.52666667,"3763-28-3,Puan",8 Km. WNW de la localidad de Puan,23-1326-C,Argiustol Tipico
Esquina de Crotto,01/01/1900,-57.41333333,-36.22333333,"3757-3-3,Santa Lucia",3 Km. al S de Estancia Santa Lucia,16/178-C,Natracuol Tipico
Estacion 12 Octubre,01/01/1900,-60.89638889,-35.62277778,"3560-26-3,Doce De Octubre",2.5 Km. al SE de Estacion Doce de Octubre,23/516-C,Natracualf Tipico
Estacion Chas,01/01/1900,-58.55555556,-35.93000000,"3560-36-4,Estacion Chas",6.5 Km. al SSE de Estacion Chas,3/2209-C,Argiacuol Tipico
Estacion Dehenny,01/01/1900,-60.74250000,-35.43583333,"3560-26-2,Patricios",2.5 Km. al E de la localidad de Patricios,23/518-C,Natralbol Tipico
Estacion Invernadas,01/01/1900,-57.24083333,-37.06500000,"3757-21-2,Est. Juancho",10.7 Km. al SW de la localidad de Gral. Madariaga,8/2411-C,Argiacuol Abruptico
Estacion La Limpia,01/01/1900,-60.61611111,-35.10694444,"3560-20-2,Maximo Fernandez","3,5 Km. al SW de Estacion La Limpia, Ea San Francisco",23/195-C,Natracuol Tipico
Estacion La Nevada,01/01/1900,-61.96777778,-36.84722222,"3763-18-3,La Nevada",10.5 Km. al N de Estacion La Nevada,23-1306-C,Natracuol Tipico
Estacion Morea,01/01/1900,-60.81444444,-35.38083333,"3560-26-1,Nueve de Julio",9.5 Km. al NE de la localidad de Nueve de Julio,23/521-C,Hapludol Tapto Argico
Estacion Naon,01/01/1900,-61.20777778,-35.06111111,"3560-19-2,Gral.Viamonte",17 Km. al WSW de la localidad de Gral. Viamonte,23/351-C,Hapludol Tipico
Estacion Quilco,01/01/1900,-61.23527778,-37.15444444,"3760-19-2,Quilco",11.6 Km. al N de la localidad de General Lamadrid,23/805-C,Natralbol Tipico
Estacion Rivera,01/01/1900,-63.24027778,-37.23638889,"3763-21-3, Rolon",9 Km. al N de Estacion Delfin Huergo,89-C,Haplustol Entico
Estacion Yerbas,01/01/1900,-59.73388889,-36.27055556,"3760-4-4,Estacion Covello",5 Km. al S de la Estacion Covello,9/3051-C,Duracuol Natrico
