SERIE,FECHA,X,Y,HOJA_IGM,UBICACION,PERFIL_NRO,GRAN_GRUPO SUBGRUPO
Ochandio,01/01/1900,-59.94750000,-38.34527778,3960-10-1 Ochandio,13.5 Km. al NW de la localidad de Ochandio,23/576-C,Hapludol Tipico
Olascoaga,01/01/1900,-60.38611111,-35.41333333,"3560-20-4, Comodoro Py",6 Km. al NNW de la localidad de Comodoro Py,23/193-C,Argialbol Argiacuico
Olavarria,01/01/1900,-60.42611111,-36.94500000,"3760-15-3, Olavarria","10,5 Km. al WSW de la localidad de Olavarria y a 5 Km, Ea. Las dos Hermanas",7/1753-C,Paleudol Petrocalcico
Orense,01/01/1900,-59.66111111,-38.76861111,3960-16-1 Orense,14 Km. al SW de la localidad de Cristiano Muerto,23/619-C,Hapludol Thapto natrico
Ortiz De Rosas,01/01/1900,-60.38611111,-35.41305556,"3560-27-1, Ortiz De Rosas",1.5 Km. al SW. de Estacion Ortiz de Rosas,23/184-C,Hapludol Tapto argico
Ostende,01/01/1900,-57.33555556,-37.06472222,3757-27-3 Laguna Mar Chiquita,4 Km. al SW de Estancia San Roman,8/1695-C,Hapludol Tipico
O brien,01/01/1900,-60.67277778,-34.84722222,"3560-14-4, Warnes",11.3 Km. al W de la Estacion Warnes,25/219-C,Hapludol Cumulico
O higgins,19/08/1966,-60.71583333,-34.57000000,3560-8-4 O higgins,1.8 Km. al NW de la localidad de O higgins,10/472-C,Argiudol Tipico
Patricios,01/01/1900,-60.74444444,-37.43472222,"3560-26-2, Patricios",1.5 Km. al NW de la localidad de Patricios,23/186-C,Natralbol Tipico
Payro,01/01/1900,-57.53166667,-35.31444444,3557-20-4 Vieytes,11.2 Km. al WSW de la localidad de Vieytes,3/1116-C,Argiacuol Vertico
Pehuajo,20/06/1989,-61.81888889,-35.62833333,3563-30-3 Ancon,25 Km. al NNE de la localidad de Pehuajo,23/1252-C,Hapludol Tipico
Pergamino,24/05/1978,-60.66805556,-33.86388889,3360-32-4 Pergamino,10 Km. al SW de la localidad de Pergamino,7/334-C,Argiudol Tipico
Peyrano,01/01/1900,-60.69861111,-33.64722222,3360-26-4 El Socorro,2 Km. al NNW de Estacion El Socorro,10-684-C,Argiudol Vertico
Phajouape,01/01/1900,-63.59000000,-36.59000000,3763-15 Maza,Paraje Phajouape,86-C,Haplustol Tipico
Pichincha,01/01/1900,-62.35000000,-34.46666667,3563-11-3 Blaquier,5 Km. al S de la Estacion Pichincha,9-C,Hapludol Thapto natrico
Piedritas,01/01/1900,-62.93333333,-34.95277778,"3563-16-3, Moores","3 Km. al WNW de Estacion Morse, Ea. La Emma",53-C,Hapludol Entico
Pieres,01/01/1900,-58.57722222,-38.45138889,3960-12-2 Pieres,16.5 Km.aproximadamente al NE de Estacion Quequen,25/561-C,Argialbol Tipico
Pigue,01/01/1900,-62.54666667,-37.62305556,"3763-28-4, Alta Vista",16 Km. al ENE de Estacion Alta Vista,23/1340-C,Haplustol Cumulico
Pila,01/01/1900,-57.86833333,-36.03416667,,8 Km. al NW de la localidad de Castelli,22/1042-C,Hapludol Tapto argico
Pillahuinco,01/01/1900,-61.15638889,-38.32083333,3960-1-4 Paraje El Gavilan,15.4 Km. al NNW del Paraje. El Gavilan,25/37-C,Paleudol Petrocalcico
Pinamar,01/01/1900,-56.96805556,-36.98777778,"3757-16-3, Ea. San Jose De Las Chilcas",39.8 Km. al SSW de la localidad de Mar de Ajo,3/2399-C,Hapludert Tipico
Pipinas,01/01/1900,-57.40388889,-35.55833333,"3557-27-3, Pipinas",6 Km. al WSW de la localidad de Pipinas,14/2176-C,Argiudol Tipico
Pje.Arenas Verdes,01/01/1900,-58.52583333,-38.51750000,3960-12-4 Necochea,15.5 Km. al E de la localidad de Necochea,25/548-C,Cuarzipsament Tipico
Pje.Los Angeles,01/01/1900,-58.98888889,-38.65222222,3960-12-3  Punta Negra,24.8 Km. al SW de la localidad de Necochea,25/567-C,Hapludol Fluventico
Plomer,01/01/1900,-59.06027778,-34.72722222,3560-17-2 Plomer,8 Km. al NNW de Estacion Plomer,4/171-C,Natralbol Tipico
Poblet,01/01/1900,-57.69000000,-35.28277778,3557-20-4 Vieytes,11.6 Km. al S-SW de la localidad de Payro,3/1115-C,Natracualf Tipico
Portela,01/01/1900,-59.53194444,-33.96944444,"3360-34-4, Ireneo Portela",13 Km. al ENE de Estacion Irineo Portela,R.P. 5/135 C,Argiudol Vertico
Puan,01/01/1900,-62.97666667,-37.56166667,"3763-28-3, Puan",17.7 Km. al W de la localidad de Puan,23-1324-C,Haplustol Tipico
Pueblitos,01/01/1900,-59.83083333,-35.57888889,"3560-28-3, Saladillo",13.25 Km. al WSW de la localidad de Saladillo,5/2055-C,Argialbol Argiacuico
Punta Indio,01/01/1900,-57.20055556,-35.31611111,3557-21-4 Punta Indio,22 Km. al E de Estacion Alvarez Jonte.,3/1274-C,Hapludol Entico
Punta Medanos,01/01/1900,-57.26527778,-37.61472222,3757-27-3 Lag. Mar Chiquita,2 Km. al SE. de Estancia Roman,8/1691-C,Udipsament Tipico
Querandies,01/01/1900,-60.41666667,-37.10000000,3760-21-1 Santa Luisa,7.5 Km. de la Estancia Santa Lucia,2328-C,Natracuol Tipico
Ramallo,01/01/1900,-60.05277778,-33.68055556,3360-33-2 Perez Millan,11 Km. al NNE de la localidad de Perez Millan,6/358-C,Argiudol Vertico
Ramon Santamarina,01/01/1900,-59.48555556,-38.43027778,3960-11-1 Ramon Santamarina,13.2 Km. al W de la localidad de Ramon Santamarina,25/1265-C,Argiudol Tipico
Rancagua,01/01/1900,-60.58611111,-33.97222222,3360-33-3 Juan Anchorena,10 Km. al N de la Estacion Rancagua,Rpvi-7-C,Natracualf Tipico
Rancho Grande,01/01/1900,-61.46666667,-38.03333333,3960-1-1 Estacion Pillahuinco,13 Km. al NE de la localidad de Cnel. Pringles - Ea. La Josefina.,16/28-C,Paleudol Petrocalcico
Rauch,01/01/1900,-59.11527778,-36.76527778,"3760-17-2, Rauch","2,250 Km. al NW  Estacion Rauch",13/2701-C,Natracuol Tipico
Rawson,01/01/1900,-60.20666667,-34.60138889,"3560-9-4, Rawson.",4 Km. al ENE de Estacion San Patricio - F.C.G.-,13/537-C,Natralbol Tipico
Rincon De Lopez,01/01/1900,-57.39555556,-35.72305556,"3557-33-1, Dest. Rio Salado",2.75 Km. al NW de Almacen El Buen Descanso,10/3327-C,Argiudol Acuico
Rio Quequen,01/01/1900,-58.96805556,-38.26000000,"3960-6-3, San Jose",20 Km. al SW de la localidad de Loberia,23/294-C,Hapludol Tipico
Rio Tala,01/01/1900,-59.37638889,-33.96666667,"3360-35-3, Alsina",7 Km. al SSE de Estacion Alsina,R.P.5/134-C,Argiudol Vertico
Rojas,01/01/1900,-60.99583333,-34.13555556,"3560-2-1, Carabelas","15,5 Km. al SSW de la localidad de Carabelas",07/78-C,Argiudol Tipico
Roldan,01/01/1900,-60.92166667,-32.72416667,"3360-14-1,Santa Fe",7 Km. al N de Luis Palacios Ea. San Miguel-La Salada-Aldao,Rp.4-699-C,Argiudol Vertico
Rosales,01/01/1900,-63.10000000,-34.08333333,"3563-4, Rufino",7.75 Km. al WSE de Estancia La Oriental,,Natralbol Tipico
Saavedra,01/01/1900,-62.43388889,-37.70611111,"3763-35-1, Saavedra",9.7 Km. al NNE de la localidad de Saavedra,23/1348-C,Argiustol Paquico
Saboya,01/01/1900,-62.65333333,-34.43611111,"3560-7-2, Fortin Tiburcio",2.5 Km. al N de  la localidad de Saboya,C-13,Argiudol Tipico
Saforcada,01/01/1900,-61.08555556,-34.41388889,3560-7-2 Fortin Tiburcio,5.3 Km. al NW de Estacion Agustina F.C.G.S.M.,12/1003-C,Hapludol Entico
Saladillo,01/01/1900,-60.38888889,-35.93888889,"3560-33-3, Ea. Vallimanca",17.5 Km. al Sur de La localidad de San Enrique,3/1710-C,Hapludol Tapto Argico
Salazar,01/01/1900,-62.08333333,-36.30638889,"3763-5-4, Mones Cazon",11.5 Km. al E de la localidad de Salazar,C-2,Duracuol Natrico
San Cayetano,01/01/1900,-59.87027778,-38.68888889,"3960-16-1,Orense",8 Km. al W.de la localidad de Orense,23/599-C,Hapludol Entico
San Gabriel,01/01/1900,-60.68750000,-38.24583333,3960-2-3 Indio Rico,14.5 Km. al NE de la localidad de Indio Rico-Ea. -El Progreso-,28/609-C,Natracualf Molico
San Gregorio,01/01/1900,-62.14944444,-34.25750000,3563-5-4 San Gregorio,11.7 Km. al NW de Estacion FCBM-San Gregorio. Ea La Hermandad,2-C,Hapludol Tapto Argico
San Isidro,01/01/1900,-59.70444444,-38.35333333,3960-10-2 San Cayetano,8.5 Km. al W de la localidad de San Cayetano,23/579-C,Natracualf Tipico
San Luis Beltran,01/01/1900,-58.37083333,-35.18916667,3557-19-3 Loma Verde,9 Km. al N de Estacion Loma Verde,9/1438-C,Albacualf Vertico
San Pedro,01/01/1900,-58.86694444,-38.42194444,3960-12-1 Semillero Rita,8.3 Km. al NO del Aeroclub Necochea,25/418-C,Hapludol Cumulico
San Sebastian,01/01/1900,-59.06750000,-34.86972222,3560-16-3 Gorostiaga,5 Km. al SW de Estacion Gorostiaga,4/384-C,Natracualf Tipico
San Urbano,01/01/1900,-61.40555556,-33.62500000,3360-25-3 San Urbano,"4 Km. al NE de la Estacion San Urbano, FCGBM.",Rp.11/1340-C,Natralbol Tipico
San Vicente,01/01/1900,-58.59722222,-35.23888889,3557-19-4 Coronel Brandsen,"8,65 Km al NE de Estacion Jeppener",9/1646-C,Argialbol Tipico
Sancti Spiritu,01/01/1900,-62.08666667,-34.04583333,3563-5-2 Sancti Spiritu,14.5 Km. al ESE de la localidad Sancti Spiritu,798-C,Argialbol Tipico
Santa Ana,01/01/1900,-61.18888889,-34.35166667,3560-7-2 Fortin Tiburcio,6 Km. al N de la localidad de Fortin Tiburcio,12-993-C,Hapludol Tapto Natrico
Santa Isabel,01/01/1900,-61.60555556,-33.96305556,3363-36-4 Santa Isabel,5 Km. al Norte de la localidad de Villa Canas,6-602-C,Hapludol Tipico
Santa Lucia,01/01/1900,-60.85000000,-33.26944444,"3360-20-3, Acebal",3 Km. al SSW de la localidad de Cebal,Rp. 1/806-C,Natracuol Tipico
Santa Luisa,01/01/1900,-60.31666667,-37.18333333,3760-21-3 El Luchador,10.1 Km. al SE  de  Estacion Santa Luisa,7-2199-C,Argiudol Abruptico
Santa Paula,01/01/1900,-60.42055556,-36.16250000,"3760-3-1, Ea. La Francia",38.2 Km. al WSW de Gral. Alvear (Ea. La Francia).,19/5-C,Natrudol Petrocalcico
Santa Regina,01/01/1900,-63.19555556,-34.48194444,3563-9 Melo,7 Km. al N de la localidad de Sta. Regina. (Ea.Sta. Catalina).,26-C,Hapludol Tapto Natrico
Santa Rita,01/01/1900,-60.11388889,-35.82416667,"3560-33-2, Mamaguita",18 Km. al SE de la localidad de Mamaguita,3/1441-C,Natracuol Tipico
Santa Teresita,01/01/1900,-56.82861111,-36.54027778,3757-10-3 Santa Teresita,20 Km. al S de la localidad de Gral. Lavalle Ea. Los Linoles,16-394-C,Hapludol Tapto Argico
Estacion Santo Domingo,01/01/1900,-57.18444444,-36.95861111,3757-15-4 General Madariaga.,"6 Km. al NW de la localidad de Gral. Madariaga, Ea. El Destino.",12/3360-C,Natralbol Tipico
Segui,01/01/1900,-60.43527778,-34.90833333,3560-15-3 Coronel Mon,5 Km. al SW de la localidad de Cnel. Segui.  8/1054,8/1054-C,Hapludol Tipico
Semillero Buck,01/01/1900,-59.48777778,-38.35444444,"3960-11-2, Semillero Buck",13.4 Km. al NNE de la localidad de Ramon Santamarina,25/1268-C,Argiudol Tipico
Sierra De Los Padres,01/01/1900,-57.92916667,-37.94583333,3757-32-3 Sierra De Los Padres,6.7 Km. al S del Pje. El Dorado,5-1006-C,Hapludol Litico
Solis,01/01/1900,-59.12111111,-34.24638889,"3560-5-4, Capilla del Senor",6 Km. al NNW de la localidad de Capilla del Senor,Rp. 8/147-C,Argiudol Vertico
Sierra.Chica,01/01/1900,-60.20277778,-36.83888889,3760-15-4 Sierra Chica,4 Km. al SSW de Estacion Tte. Cnel. Minana,7/1412-C,Natrudol Petrocalcico
Suipacha,15/09/1966,-59.69638889,-34.67416667,3560-10-4 Franklin,5.3 Km. al SSW de Estacion Franklin (F.C.G.S.M.).,12/778-C,Argialbol Tipico
Tamangueyu,01/01/1900,-58.59777778,-38.32055556,3960-6-4 Tamangueyu,10 Km. al E de la localidad de Pieres,23/273-C,Natracuol Tipico
Tambo Nuevo,01/01/1900,-60.55416667,-33.95138889,3360-32-4 Pergamino,Campo Experimental del INTA (Seccion Suelos),6/1035-C,Argialbol Argiacuico
Tandil,01/01/1900,-59.47250000,-37.28333333,3760-23-3 Gardey,10 Km. al Este de la localidad de Gardey Estancia El Perdido,12/2427-C,Argiudol Tipico
Tandileufu,01/01/1900,-58.87777778,-37.15416667,3760-24-1 Estancia La Barrancosa,Estancia Santa Marta.,12/2963-C,Natralbol Tipico
Ea.Tarrhue,01/01/1900,-57.34083333,-35.53250000,3757-27-3 Laguna Mar Chiquita,4 Km. al NW de Estancia Tarruhe,8/1699-C,Argialbol Argiacuico
Tatay,01/01/1900,-59.61666667,-34.45277778,3560-10-2 Salto,"4.5 Km. al Sudeste de Estacion Heavy, F.C.G.U",Rp.12/301-C,Natracuol Tipico
Tecua,01/01/1900,-60.56666667,-37.38333333,3760-26-2 Voluntad,28 Km. al NE de la localidad de Laprida. Ea. La Gauchita,60-C,Natralbol Tipico
Teodelina,01/01/1900,-61.24722222,-34.22222222,3560-1-4 Ascension,"1 Km. al NO de Estacion Ham, F.C.G.S.M",Rp. 8/750-C,Hapludol Tipico
Tomas Jofre,01/01/1900,-59.37777778,-34.78611111,3560-17-1 Tomas Jofre,11 Km. al NE de Estacion Tomas Jofre,2/478-C,Argiacuol Tipico
Tres Arroyos,01/01/1900,-60.46472222,-38.34444444,3960-9-1 Tres Arroyos,13 Km. al NW de la localidad deTres Arroyos,25/1953-C,Paleudol Petrocalcico
Tres Esquinas,01/01/1900,-59.97138889,-37.19361111,3760-22-3 Chillar,13 Km. al N  Estacion Chillar (Ea. Manantiales).,2/1544-C,Argiudol Tipico
Tres Lomas,01/01/1900,-63.38722222,-37.24333333,"3763-21-3, Rolon",13 Km. al WSW de la localidad de Rivera,93-C,Haplustol Litico
Tronconi,01/01/1900,-58.89250000,-35.82750000,"3560-36-1, Gorchs",17.7 Km. al SSE de Estacion Gorchs,3/1993-C,Duracuol Natrico
Tuyuti,01/01/1900,-59.17027778,-36.30861111,3760-5-4 Arroyo Gualicho,32 Km. al S de la localidad de Las Flores,14/2641-C,Natracualf Tipico
Udaondo,01/01/1900,-58.98333333,-35.25000000,3560-24-3 Abbott,20 Km. al NNW de la localidad de Abbott,14/1828-C,Hapludol Tapto Argico
Uriburu,01/01/1900,-63.70805556,-36.51138889,"3763-8, Lonquimay.Pcia.La Pampa (Limite)",Limite con La Pampa,,Haplustol Entico
Urquiza,01/01/1900,-60.33611111,-33.89861111,3360-33-3 Juan Anchorena,5 Km. al NE de la localidad de Juan Anchorena (Est. Urquiza),5/219-C,Paleudol Tipico
Valeria Del Mar,01/01/1900,-57.29138889,-37.60333333,3757-27-3 Laguna Mar Chiquita,8.2 Km. al W Cruce Ruta 11 y Canal 7.,8/1690-C,Hapludol Acuico
Vedia,01/01/1900,-61.41194444,-34.91750000,3560-13-3 Bayauca,10.5 Km. al SW de Estacion Bayauca,2703-C,Natracualf Tipico
Veinticinco De Mayo,01/01/1900,-60.53500000,-37.53527778,3560-26-4 Dudignac,"3,25 Km. al NE de Estacion Morea",23/185-C,Udipsament Tipico
Venado Tuerto,01/01/1900,-61.86666667,-33.73888889,3363-36-1 Venado Tuerto,9 Km. al ENE de la localidad de Venado Tuerto,6/749-C,Hapludol Tipico
Veronica,01/01/1900,-57.34638889,-35.30166667,3557-21-3 ??lvarez Jonte,15 Km. al NW de la localidad de Veronica,3/1268-C,Hapludert Tipico
Vichahuel,01/01/1900,-58.73611111,-36.27111111,3760-6-4 Casalins,"17,2 Km. al WNW de Estacion Casalins",1/2614-C,Natracuol Tipico
Videla Dorna,01/01/1900,-58.52194444,-35.60361111,3560-30-4 Ea. La Benquerencia,10 Km. al ESE de Estancia La Benquerencia,13/2302-C,Argialbol Argiacuico
Vieytes,01/01/1900,-57.35138889,-35.30055556,3557-21-3 ??lvarez Jonte,"9,8 Km. al ENE de Estacion Alvarez Jonte",3/1267-C,Natracuert Tipico
Villa,01/01/1900,-59.25722222,-38.42555556,3960-11-1 Ramon Santamarina,7 Km. al ENE de Estacion  R. Santamarina,25/1269-C,Hapludol Cumulico
Villa Canas,01/01/1900,-61.66583333,-33.96916667,3563-6-2 Villa Canas,7 Km. al NW de la localidad de Villa Canas,Rp. 11-828-C,Hapludol Cumulico
Villa Gesell,01/01/1900,-57.26416667,-37.61555556,3757-27-3 Lag. Mar Chiquita,2 Km. al SE de Estancia Romano,8/1692-C,Udipsament Acuico
Villa Moll,01/01/1900,-59.72444444,-35.14083333,3560-22-2 Villa Moll,3.4 Km. al ESE Estacion Moquehua FCGB Ea. Santa Maria,14/436-C,Natralbol Tipico
Villa Roch,01/01/1900,-57.03694444,-36.41861111,3757-9-1 Ea. La Victoria,10 Km. al SE de la localidad de Gral. Conesa (Ea. La Esperanza),16/383-C,Hapludol Fluventico
Villa Rossi,01/01/1900,-63.26666667,-34.30000000,"3563-10, Canada Seca",41.2 Km. al ESE de la localidad de Melo,,Natracualf Tipico
Villada,22/08/1967,-61.05555556,-33.42777778,3360-25-2 Bigand,10 Km. al SE de la localidad de Bigand,9-952-C,Natracuol Tipico
Wheelwright,01/01/1900,-61.26250000,-33.68333333,3360-31-1 Weelwrghit,12 Km. al NNW de Estacion Wheelwright,11-1147-C,Natralbol Tipico
Zapiola,01/01/1900,-59.77722222,-34.83083333,3560-16-4 Juan J. Almeyra,9.6 Km. al SW de Estacion Suipacha.,14/360-C,Natracualf Tipico
Zavalla,01/01/1900,-60.82833333,-32.95416667,3360-14-3.,7.5 Km. al SW de la localidad Dean Funes,4/705-C,Natracualf Tipico
